Home County,Work County,Home County Name,Work County Name,No. of Trips,TripType
12085,04019,,Pima,8,External-Internal
47131,04019,,Pima,5,External-Internal
06073,04023,,Santa Cruz,10,External-Internal
04017,04003,,Cochise,24,External-Internal
38013,04023,,Santa Cruz,2,External-Internal
49053,04019,,Pima,8,External-Internal
19043,04023,,Santa Cruz,2,External-Internal
27061,04019,,Pima,2,External-Internal
56021,04019,,Pima,11,External-Internal
08069,04019,,Pima,25,External-Internal
19009,04023,,Santa Cruz,4,External-Internal
06065,04019,,Pima,31,External-Internal
54049,04019,,Pima,8,External-Internal
35003,04019,,Pima,6,External-Internal
04001,04003,,Cochise,10,External-Internal
48029,04003,,Cochise,9,External-Internal
04005,04019,,Pima,65,External-Internal
12011,04019,,Pima,11,External-Internal
53053,04019,,Pima,5,External-Internal
53033,04019,,Pima,19,External-Internal
48209,04019,,Pima,2,External-Internal
08013,04019,,Pima,11,External-Internal
04021,04003,,Cochise,37,External-Internal
13121,04023,,Santa Cruz,11,External-Internal
05045,04023,,Santa Cruz,2,External-Internal
30095,04003,,Cochise,5,External-Internal
35051,04003,,Cochise,7,External-Internal
48143,04019,,Pima,5,External-Internal
05143,04019,,Pima,10,External-Internal
35011,04019,,Pima,3,External-Internal
18089,04019,,Pima,14,External-Internal
55115,04019,,Pima,4,External-Internal
48121,04019,,Pima,28,External-Internal
48293,04019,,Pima,6,External-Internal
04013,04019,,Pima,1214,External-Internal
22101,04019,,Pima,7,External-Internal
04019,04003,Pima,Cochise,1113,Internal-Internal
27005,04019,,Pima,9,External-Internal
28049,04003,,Cochise,9,External-Internal
29189,04019,,Pima,8,External-Internal
49015,04003,,Cochise,1,External-Internal
35001,04019,,Pima,9,External-Internal
06071,04019,,Pima,45,External-Internal
35029,04003,,Cochise,23,External-Internal
26161,04019,,Pima,5,External-Internal
40037,04003,,Cochise,18,External-Internal
04007,04003,,Cochise,23,External-Internal
06025,04019,,Pima,13,External-Internal
08029,04019,,Pima,2,External-Internal
50007,04003,,Cochise,10,External-Internal
12081,04019,,Pima,4,External-Internal
48439,04003,,Cochise,1,External-Internal
04009,04023,,Santa Cruz,3,External-Internal
32031,04019,,Pima,14,External-Internal
41067,04019,,Pima,12,External-Internal
04013,04003,,Cochise,162,External-Internal
47037,04003,,Cochise,6,External-Internal
17143,04019,,Pima,6,External-Internal
47037,04019,,Pima,7,External-Internal
29083,04019,,Pima,3,External-Internal
19117,04019,,Pima,1,External-Internal
47063,04019,,Pima,5,External-Internal
40109,04019,,Pima,15,External-Internal
35023,04003,,Cochise,32,External-Internal
06081,04019,,Pima,9,External-Internal
09003,04019,,Pima,6,External-Internal
53031,04019,,Pima,4,External-Internal
12071,04019,,Pima,7,External-Internal
35029,04019,,Pima,19,External-Internal
51700,04019,,Pima,11,External-Internal
05057,04019,,Pima,4,External-Internal
13053,04003,,Cochise,7,External-Internal
